target,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,hit_rate_mean,hit_rate_std,pearson_mean,pearson_std,spearman_mean,spearman_std,n_folds,n_samples,model
y_XLRE,0.0076232561476154,0.0016836057147988,0.0102895494756859,0.0027917854865873,-0.1228893698561176,0.1987242383066939,0.5293094051745166,0.0913611055894579,0.5293094051745166,0.0913611055894579,0.041371213926101,0.2308447233126221,0.0743972246937419,0.1989029984379006,25,823,rf
y_XLU,0.0078207918950725,0.0011075673915683,0.0101755284158684,0.002076263997198,-0.1050339167289146,0.1185053316401766,0.4988362714417481,0.1051614517288056,0.4988362714417481,0.1051614517288056,-0.0051806996372495,0.2032514074876696,-0.0251636531547216,0.2369843992273718,25,823,rf
y_XLV,0.0079379199484653,0.0021634623131416,0.0102046222312559,0.0030306630780636,-0.1170825692397895,0.1302879747050006,0.4141235515434298,0.0930085937049608,0.4141235515434298,0.0930085937049608,-0.1046210717605812,0.2301171904562941,-0.136128767662727,0.2138680946214992,25,823,rf
y_XLY,0.0105775528898176,0.0034539089263935,0.01398375370753,0.0053964244869454,-0.0959138089009905,0.0933974100310916,0.5001904800601555,0.0902210476343854,0.5001904800601555,0.0902210476343854,-0.0211939780951893,0.1565725897021537,0.0034867977276105,0.1652309092795365,25,823,rf
y_BTC-USD,0.0266260818901443,0.0051631269752328,0.0360172609042712,0.0088234977029466,-1.794781428962389,1.9482040187192504,0.4753333333333333,0.0602070501593367,0.4753333333333333,0.0602070501593367,0.0033992797440425,0.1351534302091925,-0.0185340372325646,0.1487818440121291,25,1500,mlp
y_GLD,0.0228462915780648,0.0057898082293704,0.0316974138372037,0.0095378547672929,-10.36847974467902,10.216935342026613,0.5036658754392019,0.0860875498512318,0.5036658754392019,0.0860875498512318,-0.0116041895902225,0.1190574579732877,-0.0028285812189857,0.1473224410431816,25,823,mlp
y_TLT,0.0219402679514462,0.0061122493035682,0.0317348732351321,0.0124771939101763,-21.94230367789891,18.030337286944835,0.5159486941961586,0.0972338536242917,0.5159486941961586,0.0972338536242917,0.0385789549768048,0.178787596314652,0.0462502008145637,0.1856110673816055,25,823,mlp
y_UUP,0.0202239799814053,0.0049765140579907,0.0285083561754081,0.0087766400185225,-52.53386594870958,45.18413289760824,0.4950323388376126,0.0898403992082619,0.4950323388376126,0.0898403992082619,0.0063705251428064,0.1544339845788696,0.0055314459831557,0.1657627830908177,25,823,mlp
y_XLB,0.021806161362496,0.0052056087523164,0.0295012882463318,0.0086986665078287,-8.820467064304896,7.529095855843291,0.4795357362051073,0.0985426548580441,0.4795357362051073,0.0985426548580441,0.0345129283020879,0.2037786152677637,0.0264244593667415,0.2242391678986393,25,823,mlp
y_XLC,0.022117026887242,0.0052967248577445,0.0306461591118201,0.0081811693955897,-12.956970887886078,9.207016757187452,0.48649947262929,0.0830827808363503,0.48649947262929,0.0830827808363503,-0.0429649317076306,0.1378298676222078,-0.0570178551915961,0.1368545445623751,25,823,mlp
y_XLE,0.0239815210578364,0.0058425247263087,0.0321924887178446,0.0088731841839852,-5.533708275213096,3.8151545570079417,0.504334065895932,0.0773925321908134,0.504334065895932,0.0773925321908134,0.0304958498930039,0.1171516736288081,0.0559430347118119,0.1368931430323428,25,823,mlp
y_XLF,0.0222322748424523,0.0061033931670326,0.0305531741631546,0.0090967824260623,-8.698699461067884,6.602480705394329,0.4815347338460928,0.09117179039614,0.4815347338460928,0.09117179039614,0.0261790952278948,0.1353221609811059,0.0138249911011871,0.1482315777255953,25,823,mlp
