model,target,strategy,threshold,cost_bps,n_obs,active_rate,hit_rate,cum_return,mean_ret,std_ret,sharpe
ridge,y_XLI,long_flat,0.003,1.0,823,0.4058323207776427,0.1846901579586877,-0.1101513147051532,-0.0001141811078788,0.0074468355935788,-0.2434012235719
ridge,y_XLI,long_short,0.003,1.0,823,0.8541919805589308,0.3657351154313487,-0.4561586723461356,-0.0006888191685793,0.010129089201391,-1.0795309521639371
ridge,y_XLI,long_flat,0.005,1.0,823,0.3608748481166464,0.1591737545565006,-0.1735045821745811,-0.0002096110703391,0.0065975291525198,-0.5043513273010662
ridge,y_XLI,long_short,0.005,1.0,823,0.764277035236938,0.3232077764277035,-0.5004953823479177,-0.0008000942773594,0.0092735518227114,-1.3696049952175202
ridge,y_XLK,long_flat,0.0,1.0,823,0.5188335358444714,0.2989064398541919,0.0421461160150447,0.0001145793364669,0.0113970642714786,0.1595929034657302
ridge,y_XLK,long_short,0.0,1.0,823,1.0,0.4933171324422843,-0.2932655730816134,-0.0002792813411451,0.0168159394002902,-0.2636459219678127
ridge,y_XLK,long_flat,0.0005,1.0,823,0.5078979343863913,0.2904009720534629,0.0179454888192558,8.549259453642828e-05,0.0113502001762993,0.1195708307700438
ridge,y_XLK,long_short,0.0005,1.0,823,0.9817739975698664,0.4823815309842041,-0.3388921541725997,-0.0003636796733181,0.016610022312045,-0.3475754412892725
ridge,y_XLK,long_flat,0.001,1.0,823,0.503037667071689,0.2855407047387606,-0.0323685487250821,2.337326297130582e-05,0.0113033358544973,0.032825623486496
ridge,y_XLK,long_short,0.001,1.0,823,0.959902794653706,0.4702308626974483,-0.302053826612114,-0.0003139178083749,0.0156729043229184,-0.3179557927345805
ridge,y_XLK,long_flat,0.002,1.0,823,0.4787363304981774,0.2709599027946537,-0.098435511991065,-6.531174348734378e-05,0.0110559544974865,-0.0937767775720341
ridge,y_XLK,long_short,0.002,1.0,823,0.9210206561360876,0.4495747266099635,-0.3910254917815842,-0.0004843325792406,0.0153607086099862,-0.5005329854447689
ridge,y_XLK,long_flat,0.003,1.0,823,0.4592952612393681,0.2575941676792223,-0.223269253380508,-0.0002580435710573,0.0098548681481203,-0.4156640796255802
ridge,y_XLK,long_short,0.003,1.0,823,0.8857837181044957,0.4289185905224787,-0.4813526485549104,-0.0006938418939537,0.0143187245932105,-0.769230424951419
ridge,y_XLK,long_flat,0.005,1.0,823,0.4240583232077764,0.2405832320777642,-0.2312089287464489,-0.0002726225100257,0.0096390819697612,-0.4489792900957554
ridge,y_XLK,long_short,0.005,1.0,823,0.8153098420413123,0.393681652490887,-0.5233597883456163,-0.0008034960675817,0.0138117110719842,-0.9234992376368296
