scope,model,target,strategy,cost_bps,best_by,best_threshold,metric_value,metric_at_threshold0
per_target,mlp,y_XLF,long_flat,3.0,cum_return,0.0,0.2069129354206818,0.2069129354206818
per_target,mlp,y_XLF,long_flat,3.0,sharpe,0.0,0.4439700441386425,0.4439700441386425
per_target,mlp,y_XLF,long_short,3.0,cum_return,0.0,-0.0299321102266512,-0.0299321102266512
per_target,mlp,y_XLF,long_short,3.0,sharpe,0.0,0.04893371629577,0.04893371629577
per_target,mlp,y_XLI,long_flat,3.0,cum_return,0.001,0.0286392346242052,-0.025825782258473
per_target,mlp,y_XLI,long_flat,3.0,sharpe,0.001,0.1317978066296866,-0.0032074080326324
per_target,mlp,y_XLI,long_short,3.0,cum_return,0.005,-0.2149204506326065,-0.4358245140971849
per_target,mlp,y_XLI,long_short,3.0,sharpe,0.005,-0.3435193892364254,-0.8433281049762439
per_target,mlp,y_XLK,long_flat,3.0,cum_return,0.0,-0.3148219184651317,-0.3148219184651317
per_target,mlp,y_XLK,long_flat,3.0,sharpe,0.0,-0.5311266651318841,-0.5311266651318841
per_target,mlp,y_XLK,long_short,3.0,cum_return,0.005,-0.6429006658679192,-0.6927757090228539
per_target,mlp,y_XLK,long_short,3.0,sharpe,0.0,-1.220362320879595,-1.220362320879595
per_target,mlp,y_XLP,long_flat,3.0,cum_return,0.0005,0.0515868667447123,0.0469701012946812
per_target,mlp,y_XLP,long_flat,3.0,sharpe,0.0005,0.2182592779282627,0.2019167677041913
per_target,mlp,y_XLP,long_short,3.0,cum_return,0.0,-0.2044546562474199,-0.2044546562474199
per_target,mlp,y_XLP,long_short,3.0,sharpe,0.0,-0.4545079533152329,-0.4545079533152329
per_target,mlp,y_XLRE,long_flat,3.0,cum_return,0.002,0.182745903042478,0.1181720568217485
per_target,mlp,y_XLRE,long_flat,3.0,sharpe,0.002,0.5279119518369126,0.358920965185947
per_target,mlp,y_XLRE,long_short,3.0,cum_return,0.002,0.2520022422420638,0.0832657011939845
per_target,mlp,y_XLRE,long_short,3.0,sharpe,0.002,0.5147874039306017,0.2305317822673598
per_target,mlp,y_XLU,long_flat,3.0,cum_return,0.0,0.2670074076542701,0.2670074076542701
per_target,mlp,y_XLU,long_flat,3.0,sharpe,0.0,0.6821910972362347,0.6821910972362347
per_target,mlp,y_XLU,long_short,3.0,cum_return,0.0,-0.2116272813859202,-0.2116272813859202
per_target,mlp,y_XLU,long_short,3.0,sharpe,0.0,-0.3660773503891085,-0.3660773503891085
per_target,mlp,y_XLV,long_flat,3.0,cum_return,0.001,-0.2898495109868377,-0.3548655912209629
per_target,mlp,y_XLV,long_flat,3.0,sharpe,0.001,-0.8639956648549135,-1.0622395834685243
per_target,mlp,y_XLV,long_short,3.0,cum_return,0.003,-0.4560656352907304,-0.5343585606768393
